Fakülte / Birim,Program
Diş Hekimliği Fakültesi,Diş Hekimliği
Edebiyat Fakültesi,Alman Dili ve Edebiyatı
Edebiyat Fakültesi,Arkeoloji
Edebiyat Fakültesi,Coğrafya
Edebiyat Fakültesi,Eski Yunan Dili ve Edebiyatı
Edebiyat Fakültesi,Felsefe
Edebiyat Fakültesi,İngiliz Dili ve Edebiyatı
Edebiyat Fakültesi,Latin Dili ve Edebiyatı
Edebiyat Fakültesi,Psikoloji
Edebiyat Fakültesi,Rus Dili ve Edebiyatı
Edebiyat Fakültesi,Sanat Tarihi
Edebiyat Fakültesi,Sosyoloji
Edebiyat Fakültesi,Tarih
Edebiyat Fakültesi,Türk Dili ve Edebiyatı
Eğitim Fakültesi,Fen Bilgisi Öğretmenliği
Eğitim Fakültesi,İlköğretim Matematik Öğretmenliği
Eğitim Fakültesi,İngilizce Öğretmenliği
Eğitim Fakültesi,Okul Öncesi Öğretmenliği
Eğitim Fakültesi,Özel Eğitim Öğretmenliği
Eğitim Fakültesi,Rehberlik ve Psikolojik Danışmanlık
Eğitim Fakültesi,Sınıf Öğretmenliği
Eğitim Fakültesi,Sosyal Bilgiler Öğretmenliği
Eğitim Fakültesi,Türkçe Öğretmenliği
Fen Fakültesi,Biyoloji
Fen Fakültesi,Fizik
Fen Fakültesi,Kimya
Fen Fakültesi,Matematik
Fen Fakültesi,Uzay Bilimleri ve Teknolojileri
Güzel Sanatlar Fakültesi,Sinema ve Televizyon (Cinema & Television)
Hemşirelik Fakültesi,Hemşirelik
Hukuk Fakültesi,Hukuk
İktisadi ve İdari Bilimler Fakültesi,Çalışma Ekonomisi ve Endüstri İlişkileri
İktisadi ve İdari Bilimler Fakültesi,Ekonometri
İktisadi ve İdari Bilimler Fakültesi,İktisat
İktisadi ve İdari Bilimler Fakültesi,İşletme / Management
İktisadi ve İdari Bilimler Fakültesi,Public Finance
İktisadi ve İdari Bilimler Fakültesi,Political Science and Public Administration
İktisadi ve İdari Bilimler Fakültesi,International Relations
İlahiyat Fakültesi,İlahiyat (Theology)
İletişim Fakültesi,Gazetecilik (Journalism)
İletişim Fakültesi,Halkla İlişkiler ve Tanıtım (Public Relations and Presentation)
İletişim Fakültesi,Radyo-Televizyon & Sinema (Radio, Television and Cinema)
İletişim Fakültesi,Reklamcılık (Advertising)
Kemer Denizcilik Fakültesi,Nautical Management and Administration
Kumluca Sağlık Bilimleri Fakültesi,Çocuk Gelişimi (Child Development)
